id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id
E00295,714.6,00:11:54.600,00h11m54s600ms,abrupt_change,17865,3573,"0,0,318,120",0.851763,104.7315,0.851763,104.6562,event_frames_full/E00295_00h11m54s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00295_00h11m54s600ms_abrupt_change.jpg,,GE00295
E00296,715.2,00:11:55.200,00h11m55s200ms,stable_change,17880,3576,"0,0,320,120",0.85221,104.8272,0.0,0.0126,event_frames_full/E00296_00h11m55s200ms_stable_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00296_00h11m55s200ms_stable_change.jpg,,GE00296
E00297,715.6,00:11:55.600,00h11m55s600ms,abrupt_change,17890,3578,"100,78,206,125",0.040848,2.5987,0.040848,2.5987,event_frames_full/E00297_00h11m55s600ms_abrupt_change.jpg,event_crops/E00297_00h11m55s600ms_abrupt_change_DETAIL.jpg,"550,439,1286,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00297_00h11m55s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00297_00h11m55s600ms_abrupt_change_DETAIL.jpg,GE00297
E00298,717.6,00:11:57.600,00h11m57s600ms,settled,17940,3588,"103,77,206,125",0.01096,0.6789,0.0,0.0,event_frames_full/E00298_00h11m57s600ms_settled.jpg,event_crops/E00298_00h11m57s600ms_settled_DETAIL.jpg,"568,433,1286,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00298_00h11m57s600ms_settled.jpg,event_chunks_5fps/chunk_01/event_crops/E00298_00h11m57s600ms_settled_DETAIL.jpg,GE00298
E00299,718.2,00:11:58.200,00h11m58s200ms,stable_change,17955,3591,"100,72,206,124",0.050335,2.5886,0.0,0.0,event_frames_full/E00299_00h11m58s200ms_stable_change.jpg,event_crops/E00299_00h11m58s200ms_stable_change_DETAIL.jpg,"550,403,1286,775",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00299_00h11m58s200ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00299_00h11m58s200ms_stable_change_DETAIL.jpg,GE00299
E00300,719.2,00:11:59.200,00h11m59s200ms,abrupt_change,17980,3596,"100,77,206,124",0.049308,2.5961,0.048973,2.578,event_frames_full/E00300_00h11m59s200ms_abrupt_change.jpg,event_crops/E00300_00h11m59s200ms_abrupt_change_DETAIL.jpg,"550,433,1286,775",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00300_00h11m59s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00300_00h11m59s200ms_abrupt_change_DETAIL.jpg,GE00300
E00301,720.8,00:12:00.800,00h12m00s800ms,abrupt_change,18020,3604,"100,82,204,107",0.045982,2.9599,0.046183,2.9597,event_frames_full/E00301_00h12m00s800ms_abrupt_change.jpg,event_crops/E00301_00h12m00s800ms_abrupt_change_DETAIL.jpg,"550,463,1274,673",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00301_00h12m00s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00301_00h12m00s800ms_abrupt_change_DETAIL.jpg,GE00301
E00302,721.2,00:12:01.200,00h12m01s200ms,abrupt_change,18030,3606,"100,97,204,126",0.05529,3.6976,0.050737,3.3192,event_frames_full/E00302_00h12m01s200ms_abrupt_change.jpg,event_crops/E00302_00h12m01s200ms_abrupt_change_DETAIL.jpg,"550,553,1274,787",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00302_00h12m01s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00302_00h12m01s200ms_abrupt_change_DETAIL.jpg,GE00302
E00303,721.6,00:12:01.600,00h12m01s600ms,abrupt_change,18040,3608,"100,104,204,126",0.050737,3.3389,0.050737,3.3388,event_frames_full/E00303_00h12m01s600ms_abrupt_change.jpg,event_crops/E00303_00h12m01s600ms_abrupt_change_DETAIL.jpg,"550,595,1274,787",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00303_00h12m01s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00303_00h12m01s600ms_abrupt_change_DETAIL.jpg,GE00303
E00304,722.0,00:12:02.000,00h12m02s000ms,abrupt_change,18050,3610,"100,69,218,124",0.064375,3.2943,0.064152,3.2895,event_frames_full/E00304_00h12m02s000ms_abrupt_change.jpg,event_crops/E00304_00h12m02s000ms_abrupt_change_DETAIL.jpg,"550,384,1358,775",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00304_00h12m02s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00304_00h12m02s000ms_abrupt_change_DETAIL.jpg,GE00304
E00305,723.0,00:12:03.000,00h12m03s000ms,abrupt_change,18075,3615,"100,72,206,126",0.047232,2.7194,0.046808,2.7081,event_frames_full/E00305_00h12m03s000ms_abrupt_change.jpg,event_crops/E00305_00h12m03s000ms_abrupt_change_DETAIL.jpg,"550,403,1286,787",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00305_00h12m03s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00305_00h12m03s000ms_abrupt_change_DETAIL.jpg,GE00305
E00306,725.4,00:12:05.400,00h12m05s400ms,abrupt_change,18135,3627,"100,72,206,125",0.054241,3.4366,0.053594,3.4145,event_frames_full/E00306_00h12m05s400ms_abrupt_change.jpg,event_crops/E00306_00h12m05s400ms_abrupt_change_DETAIL.jpg,"550,403,1286,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00306_00h12m05s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00306_00h12m05s400ms_abrupt_change_DETAIL.jpg,GE00306
E00307,727.2,00:12:07.200,00h12m07s200ms,abrupt_change,18180,3636,"100,77,206,120",0.042277,2.7966,0.039442,2.6359,event_frames_full/E00307_00h12m07s200ms_abrupt_change.jpg,event_crops/E00307_00h12m07s200ms_abrupt_change_DETAIL.jpg,"550,433,1286,751",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00307_00h12m07s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00307_00h12m07s200ms_abrupt_change_DETAIL.jpg,GE00307
